,Half life,"1,00","1,94","6,58",,,,,
,Total Adstock,200,333,1000,,,,,
,,,,,,,,,
,Decay,"0,50","0,7","0,9",,,,,
,,,,,,,,,
Nr.,Media input,AdStock50,AdStock70,AdStock90,,,,,
1,100,100,100,100,,,,,
2,,50,70,90,,,,,
3,,25,49,81,,,,,
4,,13,34,73,,,,,
5,,6,24,66,,,,,
6,,3,17,59,,,,,
7,,2,12,53,,,,,
8,,1,8,48,,,,,
9,,0,6,43,,,,,
10,,0,4,39,,,,,
11,,0,3,35,,,,,
12,,0,2,31,,,,,
13,,0,1,28,,,,,
14,,0,1,25,,,,,
15,,0,1,23,,,,,
16,,0,0,21,,,,,
17,,0,0,19,,,,,
18,,0,0,17,,,,,
19,,0,0,15,,,,,
20,,0,0,14,,,,,
21,,0,0,12,,,,,
22,,0,0,11,,,,,
23,,0,0,10,,,,,
24,,0,0,9,,,,,
25,,0,0,8,,,,,
26,,0,0,7,,The Adstock model is defined as:,,,
27,,0,0,6,,Where,,,Ai  = Adstock in period i
28,,0,0,6,,,,,Mi = Media input in period i
29,,0,0,5,,,,,ß    = Decay rate (0≤  ß  <1)
30,,0,0,5,,,,,Ai-1 = Adstock in period i-1
31,,0,0,4,,Decay should be estimated directly on data,,,
32,,0,0,4,,,,,
33,,0,0,3,,Different adstock variables should be estimated on differetn media groups and on different creative universes,,,
34,,0,0,3,,,,,
35,,0,0,3,,,,,
36,,0,0,3,,,,,
37,,0,0,2,,,,,
38,,0,0,2,,,,,
39,,0,0,2,,,,,
40,,0,0,2,,,,,
41,,0,0,1,,,,,
42,,0,0,1,,,,,
43,,0,0,1,,,,,
44,,0,0,1,,,,,
45,,0,0,1,,,,,
46,,0,0,1,,,,,
47,,0,0,1,,,,,
48,,0,0,1,,,,,
49,,0,0,1,,,,,
50,,0,0,1,,,,,
51,,0,0,1,,,,,
52,,0,0,0,,,,,
